[2025-01-21T07:19:44.271Z] Success: Data returned. state=uttarpradesh, lgdcode=122489, khasra_no=306, totalKhasraCount=8
[2025-01-21T07:26:12.983Z] Success: Data returned. state=uttarpradesh, lgdcode=122489, khasra_no=306, totalKhasraCount=2
[2025-01-21T07:26:50.216Z] Success: Data returned. state=uttarpradesh, lgdcode=122489, khasra_no=306, totalKhasraCount=4
[2025-01-21T07:27:41.565Z] Success: Data returned. state=uttarpradesh, lgdcode=114465, khasra_no=11, totalKhasraCount=5
[2025-01-21T07:29:10.014Z] Success: Data returned. state=maharashtra, lgdcode=544611, khasra_no=100, totalKhasraCount=6
[2025-01-21T07:38:31.046Z] Success: Data returned. state=maharashtra, lgdcode=544611, khasra_no=100, totalKhasraCount=7
[2025-01-21T07:38:34.235Z] Success: Data returned. state=maharashtra, lgdcode=544611, khasra_no=100, totalKhasraCount=8
[2025-01-21T10:35:43.441Z] Success: Data returned. state=uttarpradesh, lgdcode=217739, khasra_no=149, totalKhasraCount=10
[2025-01-21T10:36:02.302Z] Success: Data returned. state=uttarpradesh, lgdcode=217739, khasra_no=149, totalKhasraCount=12
[2025-01-21T10:36:02.349Z] Success: Data returned. state=uttarpradesh, lgdcode=217739, khasra_no=147, totalKhasraCount=14
[2025-01-21T10:45:36.078Z] Success: Data returned. state=uttarpradesh, lgdcode=217739, khasra_no=149, totalKhasraCount=16
[2025-01-21T10:45:36.480Z] Success: Data returned. state=uttarpradesh, lgdcode=217739, khasra_no=147, totalKhasraCount=18
[2025-01-21T12:57:58.546Z] Success: Data returned. state=uttarpradesh, lgdcode=218469, khasra_no=424/1, totalKhasraCount=19
[2025-01-21T13:13:05.981Z] Success: Data returned. state=uttarpradesh, lgdcode=116666, khasra_no=24, totalKhasraCount=20
[2025-01-21T13:13:06.125Z] Success: Data returned. state=uttarpradesh, lgdcode=116666, khasra_no=67, totalKhasraCount=21
[2025-01-21T13:13:06.197Z] Success: Data returned. state=uttarpradesh, lgdcode=116666, khasra_no=16, totalKhasraCount=22
[2025-01-21T13:13:06.286Z] Success: Data returned. state=uttarpradesh, lgdcode=116666, khasra_no=11, totalKhasraCount=23
[2025-01-22T04:45:46.070Z] Success: Data returned. state=uttarpradesh, lgdcode=116666, khasra_no=11, totalKhasraCount=24
[2025-01-22T04:45:46.247Z] Success: Data returned. state=uttarpradesh, lgdcode=116666, khasra_no=24, totalKhasraCount=25
[2025-01-22T04:45:46.386Z] Success: Data returned. state=uttarpradesh, lgdcode=116666, khasra_no=67, totalKhasraCount=26
[2025-01-22T04:45:46.497Z] Success: Data returned. state=uttarpradesh, lgdcode=116666, khasra_no=16, totalKhasraCount=27
[2025-01-22T07:16:21.640Z] Success: Data returned. state=uttarpradesh, lgdcode=116666, khasra_no=11, totalKhasraCount=28
[2025-01-22T07:16:21.840Z] Success: Data returned. state=uttarpradesh, lgdcode=116666, khasra_no=16, totalKhasraCount=29
[2025-01-22T07:16:21.991Z] Success: Data returned. state=uttarpradesh, lgdcode=116666, khasra_no=67, totalKhasraCount=30
[2025-01-22T07:16:22.139Z] Success: Data returned. state=uttarpradesh, lgdcode=116666, khasra_no=24, totalKhasraCount=31
[2025-01-22T08:33:54.946Z] Success: Data returned. state=uttarpradesh, lgdcode=116666, khasra_no=11, totalKhasraCount=32
[2025-01-22T08:33:55.130Z] Success: Data returned. state=uttarpradesh, lgdcode=116666, khasra_no=24, totalKhasraCount=33
[2025-01-22T08:33:55.263Z] Success: Data returned. state=uttarpradesh, lgdcode=116666, khasra_no=67, totalKhasraCount=34
[2025-01-22T08:33:55.374Z] Success: Data returned. state=uttarpradesh, lgdcode=116666, khasra_no=16, totalKhasraCount=35
[2025-01-22T08:34:16.592Z] Success: Data returned. state=uttarpradesh, lgdcode=116666, khasra_no=11, totalKhasraCount=36
[2025-01-22T08:34:16.769Z] Success: Data returned. state=uttarpradesh, lgdcode=116666, khasra_no=24, totalKhasraCount=37
[2025-01-22T08:34:16.882Z] Success: Data returned. state=uttarpradesh, lgdcode=116666, khasra_no=67, totalKhasraCount=38
[2025-01-22T08:34:16.995Z] Success: Data returned. state=uttarpradesh, lgdcode=116666, khasra_no=16, totalKhasraCount=39
[2025-01-22T08:34:41.103Z] Success: Data returned. state=uttarpradesh, lgdcode=116666, khasra_no=11, totalKhasraCount=40
[2025-01-22T08:34:41.282Z] Success: Data returned. state=uttarpradesh, lgdcode=116666, khasra_no=24, totalKhasraCount=41
[2025-01-22T08:34:41.409Z] Success: Data returned. state=uttarpradesh, lgdcode=116666, khasra_no=67, totalKhasraCount=42
[2025-01-22T08:34:41.528Z] Success: Data returned. state=uttarpradesh, lgdcode=116666, khasra_no=16, totalKhasraCount=43
[2025-01-22T08:49:31.773Z] Success: Data returned. state=uttarpradesh, lgdcode=217739, khasra_no=149, totalKhasraCount=45
[2025-01-22T08:49:32.407Z] Success: Data returned. state=uttarpradesh, lgdcode=217739, khasra_no=147, totalKhasraCount=47
[2025-01-22T08:50:44.841Z] Success: Data returned. state=uttarpradesh, lgdcode=217739, khasra_no=149, totalKhasraCount=49
[2025-01-22T08:50:45.508Z] Success: Data returned. state=uttarpradesh, lgdcode=217739, khasra_no=147, totalKhasraCount=51
[2025-01-22T08:51:23.484Z] Success: Data returned. state=uttarpradesh, lgdcode=217739, khasra_no=149, totalKhasraCount=53
[2025-01-22T08:51:24.196Z] Success: Data returned. state=uttarpradesh, lgdcode=217739, khasra_no=147, totalKhasraCount=55
[2025-01-22T08:51:39.667Z] Success: Data returned. state=uttarpradesh, lgdcode=217739, khasra_no=149, totalKhasraCount=57
[2025-01-22T08:51:40.306Z] Success: Data returned. state=uttarpradesh, lgdcode=217739, khasra_no=147, totalKhasraCount=59
[2025-01-22T08:51:58.066Z] Success: Data returned. state=uttarpradesh, lgdcode=217739, khasra_no=149, totalKhasraCount=61
[2025-01-22T08:51:58.681Z] Success: Data returned. state=uttarpradesh, lgdcode=217739, khasra_no=147, totalKhasraCount=63
[2025-01-22T08:52:13.391Z] Success: Data returned. state=uttarpradesh, lgdcode=217739, khasra_no=149, totalKhasraCount=65
[2025-01-22T08:52:14.017Z] Success: Data returned. state=uttarpradesh, lgdcode=217739, khasra_no=147, totalKhasraCount=67
[2025-01-22T08:52:21.179Z] Success: Data returned. state=uttarpradesh, lgdcode=217739, khasra_no=149, totalKhasraCount=69
[2025-01-22T08:52:21.787Z] Success: Data returned. state=uttarpradesh, lgdcode=217739, khasra_no=147, totalKhasraCount=71
[2025-01-22T08:53:11.526Z] Success: Data returned. state=uttarpradesh, lgdcode=217739, khasra_no=149, totalKhasraCount=73
[2025-01-22T08:53:12.174Z] Success: Data returned. state=uttarpradesh, lgdcode=217739, khasra_no=147, totalKhasraCount=75
[2025-01-22T08:53:45.569Z] Success: Data returned. state=uttarpradesh, lgdcode=217739, khasra_no=149, totalKhasraCount=77
[2025-01-22T08:53:46.183Z] Success: Data returned. state=uttarpradesh, lgdcode=217739, khasra_no=147, totalKhasraCount=79
[2025-01-22T08:54:29.499Z] Success: Data returned. state=uttarpradesh, lgdcode=217739, khasra_no=149, totalKhasraCount=81
[2025-01-22T08:54:30.135Z] Success: Data returned. state=uttarpradesh, lgdcode=217739, khasra_no=147, totalKhasraCount=83
[2025-01-22T08:56:11.886Z] Success: Data returned. state=uttarpradesh, lgdcode=217739, khasra_no=149, totalKhasraCount=85
[2025-01-22T08:56:12.550Z] Success: Data returned. state=uttarpradesh, lgdcode=217739, khasra_no=147, totalKhasraCount=87
[2025-01-22T08:56:59.532Z] Success: Data returned. state=uttarpradesh, lgdcode=217739, khasra_no=149, totalKhasraCount=89
[2025-01-22T08:57:00.315Z] Success: Data returned. state=uttarpradesh, lgdcode=217739, khasra_no=147, totalKhasraCount=91
[2025-01-22T08:57:51.922Z] Success: Data returned. state=uttarpradesh, lgdcode=217739, khasra_no=149, totalKhasraCount=93
[2025-01-22T08:57:52.576Z] Success: Data returned. state=uttarpradesh, lgdcode=217739, khasra_no=147, totalKhasraCount=95
[2025-01-22T08:59:21.032Z] Success: Data returned. state=uttarpradesh, lgdcode=217739, khasra_no=149, totalKhasraCount=97
[2025-01-22T08:59:21.746Z] Success: Data returned. state=uttarpradesh, lgdcode=217739, khasra_no=147, totalKhasraCount=99
[2025-01-22T09:03:19.761Z] Success: Data returned. state=uttarpradesh, lgdcode=217739, khasra_no=149, totalKhasraCount=101
[2025-01-22T09:03:20.393Z] Success: Data returned. state=uttarpradesh, lgdcode=217739, khasra_no=147, totalKhasraCount=103
[2025-01-22T09:05:32.187Z] Success: Data returned. state=uttarpradesh, lgdcode=217739, khasra_no=149, totalKhasraCount=105
[2025-01-22T09:05:32.825Z] Success: Data returned. state=uttarpradesh, lgdcode=217739, khasra_no=147, totalKhasraCount=107
[2025-01-22T09:11:30.751Z] Success: Data returned. state=uttarpradesh, lgdcode=116749, khasra_no=203, totalKhasraCount=108
[2025-01-22T09:11:30.934Z] Success: Data returned. state=uttarpradesh, lgdcode=116749, khasra_no=205, totalKhasraCount=109
[2025-01-22T09:11:31.056Z] Success: Data returned. state=uttarpradesh, lgdcode=116749, khasra_no=101, totalKhasraCount=110
[2025-01-22T09:22:04.619Z] Success: Data returned. state=uttarpradesh, lgdcode=116749, khasra_no=203, totalKhasraCount=111
[2025-01-22T09:22:04.801Z] Success: Data returned. state=uttarpradesh, lgdcode=116749, khasra_no=205, totalKhasraCount=112
[2025-01-22T09:22:04.937Z] Success: Data returned. state=uttarpradesh, lgdcode=116749, khasra_no=101, totalKhasraCount=113
[2025-01-22T09:23:06.862Z] Success: Data returned. state=uttarpradesh, lgdcode=116749, khasra_no=203, totalKhasraCount=114
[2025-01-22T09:23:07.051Z] Success: Data returned. state=uttarpradesh, lgdcode=116749, khasra_no=205, totalKhasraCount=115
[2025-01-22T09:23:07.168Z] Success: Data returned. state=uttarpradesh, lgdcode=116749, khasra_no=101, totalKhasraCount=116
[2025-01-22T09:23:43.561Z] Success: Data returned. state=uttarpradesh, lgdcode=116749, khasra_no=203, totalKhasraCount=117
[2025-01-22T09:23:44.177Z] Success: Data returned. state=uttarpradesh, lgdcode=116749, khasra_no=205, totalKhasraCount=118
[2025-01-22T09:23:44.600Z] Success: Data returned. state=uttarpradesh, lgdcode=116749, khasra_no=101, totalKhasraCount=119
[2025-01-22T09:25:33.717Z] Success: Data returned. state=uttarpradesh, lgdcode=116749, khasra_no=203, totalKhasraCount=120
[2025-01-22T09:25:34.388Z] Success: Data returned. state=uttarpradesh, lgdcode=116749, khasra_no=205, totalKhasraCount=121
[2025-01-22T09:25:34.834Z] Success: Data returned. state=uttarpradesh, lgdcode=116749, khasra_no=101, totalKhasraCount=122
[2025-01-22T09:28:18.851Z] Success: Data returned. state=uttarpradesh, lgdcode=116749, khasra_no=203, totalKhasraCount=123
[2025-01-22T09:28:19.488Z] Success: Data returned. state=uttarpradesh, lgdcode=116749, khasra_no=205, totalKhasraCount=124
[2025-01-22T09:28:19.915Z] Success: Data returned. state=uttarpradesh, lgdcode=116749, khasra_no=101, totalKhasraCount=125
[2025-01-22T09:31:10.837Z] Success: Data returned. state=uttarpradesh, lgdcode=129132, khasra_no=203, totalKhasraCount=126
[2025-01-22T09:31:11.024Z] Success: Data returned. state=uttarpradesh, lgdcode=129132, khasra_no=205, totalKhasraCount=127
[2025-01-22T09:31:11.159Z] Success: Data returned. state=uttarpradesh, lgdcode=129132, khasra_no=200, totalKhasraCount=128
[2025-01-22T09:33:16.827Z] Success: Data returned. state=uttarpradesh, lgdcode=116749, khasra_no=203, totalKhasraCount=129
[2025-01-22T09:33:17.455Z] Success: Data returned. state=uttarpradesh, lgdcode=116749, khasra_no=205, totalKhasraCount=130
[2025-01-22T09:33:17.903Z] Success: Data returned. state=uttarpradesh, lgdcode=116749, khasra_no=101, totalKhasraCount=131
[2025-01-22T09:36:39.476Z] Success: Data returned. state=uttarpradesh, lgdcode=116666, khasra_no=245, totalKhasraCount=132
[2025-01-22T09:36:39.675Z] Success: Data returned. state=uttarpradesh, lgdcode=116666, khasra_no=142, totalKhasraCount=133
[2025-01-22T09:36:39.842Z] Success: Data returned. state=uttarpradesh, lgdcode=116666, khasra_no=304/349, totalKhasraCount=134
[2025-01-22T09:36:39.967Z] Success: Data returned. state=uttarpradesh, lgdcode=116666, khasra_no=109, totalKhasraCount=135
[2025-01-22T09:38:55.024Z] Success: Data returned. state=uttarpradesh, lgdcode=116749, khasra_no=203, totalKhasraCount=136
[2025-01-22T09:38:55.735Z] Success: Data returned. state=uttarpradesh, lgdcode=116749, khasra_no=205, totalKhasraCount=137
[2025-01-22T09:38:56.166Z] Success: Data returned. state=uttarpradesh, lgdcode=116749, khasra_no=101, totalKhasraCount=138
[2025-01-22T09:43:23.749Z] Success: Data returned. state=uttarpradesh, lgdcode=116749, khasra_no=203, totalKhasraCount=139
[2025-01-22T09:43:24.380Z] Success: Data returned. state=uttarpradesh, lgdcode=116749, khasra_no=205, totalKhasraCount=140
[2025-01-22T09:43:24.805Z] Success: Data returned. state=uttarpradesh, lgdcode=116749, khasra_no=101, totalKhasraCount=141
[2025-01-22T09:43:53.021Z] Success: Data returned. state=uttarpradesh, lgdcode=116749, khasra_no=203, totalKhasraCount=142
[2025-01-22T09:43:54.224Z] Success: Data returned. state=uttarpradesh, lgdcode=116749, khasra_no=205, totalKhasraCount=143
[2025-01-22T09:43:54.991Z] Success: Data returned. state=uttarpradesh, lgdcode=116749, khasra_no=101, totalKhasraCount=144
[2025-01-22T09:44:58.904Z] Success: Data returned. state=uttarpradesh, lgdcode=116749, khasra_no=203, totalKhasraCount=145
[2025-01-22T09:44:59.533Z] Success: Data returned. state=uttarpradesh, lgdcode=116749, khasra_no=205, totalKhasraCount=146
[2025-01-22T09:44:59.988Z] Success: Data returned. state=uttarpradesh, lgdcode=116749, khasra_no=101, totalKhasraCount=147
[2025-01-22T09:45:45.957Z] Success: Data returned. state=uttarpradesh, lgdcode=116749, khasra_no=203, totalKhasraCount=148
[2025-01-22T09:45:46.643Z] Success: Data returned. state=uttarpradesh, lgdcode=116749, khasra_no=205, totalKhasraCount=149
[2025-01-22T09:45:47.084Z] Success: Data returned. state=uttarpradesh, lgdcode=116749, khasra_no=101, totalKhasraCount=150
[2025-01-22T09:46:02.021Z] Success: Data returned. state=uttarpradesh, lgdcode=116749, khasra_no=203, totalKhasraCount=151
[2025-01-22T09:46:02.702Z] Success: Data returned. state=uttarpradesh, lgdcode=116749, khasra_no=205, totalKhasraCount=152
[2025-01-22T09:46:03.159Z] Success: Data returned. state=uttarpradesh, lgdcode=116749, khasra_no=101, totalKhasraCount=153
[2025-01-22T09:47:34.241Z] Success: Data returned. state=uttarpradesh, lgdcode=116749, khasra_no=203, totalKhasraCount=154
[2025-01-22T09:47:34.992Z] Success: Data returned. state=uttarpradesh, lgdcode=116749, khasra_no=205, totalKhasraCount=155
[2025-01-22T09:47:35.553Z] Success: Data returned. state=uttarpradesh, lgdcode=116749, khasra_no=101, totalKhasraCount=156
[2025-01-22T09:48:23.737Z] Success: Data returned. state=uttarpradesh, lgdcode=116749, khasra_no=203, totalKhasraCount=157
[2025-01-22T09:48:24.378Z] Success: Data returned. state=uttarpradesh, lgdcode=116749, khasra_no=205, totalKhasraCount=158
[2025-01-22T09:48:24.806Z] Success: Data returned. state=uttarpradesh, lgdcode=116749, khasra_no=101, totalKhasraCount=159
[2025-01-22T09:52:41.062Z] Success: Data returned. state=uttarpradesh, lgdcode=116749, khasra_no=203, totalKhasraCount=160
[2025-01-22T09:52:41.752Z] Success: Data returned. state=uttarpradesh, lgdcode=116749, khasra_no=205, totalKhasraCount=161
[2025-01-22T09:52:42.379Z] Success: Data returned. state=uttarpradesh, lgdcode=116749, khasra_no=101, totalKhasraCount=162
[2025-01-22T09:53:51.880Z] Success: Data returned. state=uttarpradesh, lgdcode=116749, khasra_no=203, totalKhasraCount=163
[2025-01-22T09:53:52.537Z] Success: Data returned. state=uttarpradesh, lgdcode=116749, khasra_no=205, totalKhasraCount=164
[2025-01-22T09:53:52.986Z] Success: Data returned. state=uttarpradesh, lgdcode=116749, khasra_no=101, totalKhasraCount=165
[2025-01-22T09:54:00.731Z] Success: Data returned. state=uttarpradesh, lgdcode=116749, khasra_no=203, totalKhasraCount=166
[2025-01-22T09:54:01.381Z] Success: Data returned. state=uttarpradesh, lgdcode=116749, khasra_no=205, totalKhasraCount=167
[2025-01-22T09:54:01.799Z] Success: Data returned. state=uttarpradesh, lgdcode=116749, khasra_no=101, totalKhasraCount=168
[2025-01-22T09:55:33.726Z] Success: Data returned. state=uttarpradesh, lgdcode=116749, khasra_no=203, totalKhasraCount=169
[2025-01-22T09:55:34.348Z] Success: Data returned. state=uttarpradesh, lgdcode=116749, khasra_no=205, totalKhasraCount=170
[2025-01-22T09:55:34.834Z] Success: Data returned. state=uttarpradesh, lgdcode=116749, khasra_no=101, totalKhasraCount=171
[2025-01-22T09:59:25.444Z] Success: Data returned. state=uttarpradesh, lgdcode=116749, khasra_no=203, totalKhasraCount=172
